Time_On_FB,Age,Area_Income,Daily_Internet_Usage,Fashion_FB_Group,Male,Country,Timestamp,clickNumeric,click
81.98,55,65461.92,229.22,Yes,Female,Seychelles,4/15/2016 11:51,0,NO_CLICK
63.6,23,34127.21,151.95,Yes,Female,Samoa,6/21/2016 3:14,0,NO_CLICK
61.57,53,35253.98,125.94,Yes,Male,Bulgaria,3/14/2016 14:13,1,CLICK
32.6,36,44893.71,111.94,Yes,Female,Mauritania,5/6/2016 21:07,0,NO_CLICK
58.6,60,59621.02,226.78,Yes,Female,Czech Republic,6/12/2016 17:52,1,CLICK
43.6,38,20856.54,256.78,Yes,User_Identified,Chile,1/11/2016 7:36,1,CLICK
81.6,36,55353.41,254.57,Yes,Female,Poland,7/2/2016 0:24,0,NO_CLICK
86.6,25,67516.07,234.78,Yes,User_Identified,Estonia,3/4/2016 10:13,0,NO_CLICK
49.95,39,68737.75,136.59,Yes,Female,Turkmenistan,3/24/2016 9:12,1,CLICK
60.94,44,76893.84,219.78,Yes,Female,Latvia,2/14/2016 7:30,1,CLICK
35.6,42,59886.58,122.78,Yes,Female,Fiji,4/25/2016 7:30,0,NO_CLICK
58.6,22,53441.69,145.78,Yes,Female,Turkey,2/10/2016 19:20,1,CLICK
33.6,38,41356.31,184.78,Yes,Female,Kazakhstan,4/23/2016 14:34,0,NO_CLICK
67.6,38,49942.66,246.78,Yes,Female,Bahrain,6/18/2016 17:56,0,NO_CLICK
70.68,31,74430.08,151.78,Yes,Female,Colombia,7/17/2016 1:58,0,NO_CLICK
41.6,43,58633.63,183.78,Yes,Female,Brunei Darussalam,4/27/2016 4:28,0,NO_CLICK
33.6,33,72707.87,228.03,Yes,Male,Taiwan,4/21/2016 20:29,0,NO_CLICK
46.77,32,31092.93,136.4,Yes,Male,Serbia,3/23/2016 6:00,1,CLICK
62.42,38,74445.18,186.78,Yes,Female,Saint Pierre and Miquelon,7/19/2016 7:59,1,CLICK
78.32,53,49309.14,201.78,Yes,Female,Australia,6/26/2016 11:52,1,CLICK
90.6,50,56735.14,256.78,Yes,Male,Chad,3/30/2016 23:40,1,CLICK
66.6,45,40183.75,247.78,Yes,Male,Norway,3/16/2016 7:59,1,CLICK
62.6,22,58348.41,200.78,Yes,Female,Turks and Caicos Islands,5/4/2016 0:01,1,CLICK
44.6,30,72209.99,206.78,Yes,Female,Finland,7/2/2016 21:22,1,CLICK
40.6,33,62060.11,159.78,Yes,Female,South Africa,5/23/2016 21:14,1,CLICK
34.6,32,67113.46,198.78,Yes,User_Identified,Martinique,1/29/2016 20:16,0,NO_CLICK
80.03,44,24030.06,136.78,Yes,Female,Afghanistan,7/23/2016 14:47,1,CLICK
46.6,54,56180.93,115.26,Yes,Male,Micronesia,2/16/2016 9:11,0,NO_CLICK
85.6,36,62204.93,259.78,Yes,Male,French Southern Territories,6/9/2016 21:43,0,NO_CLICK
85.03,40,60372.64,204.52,Yes,Female,Philippines,6/19/2016 9:24,1,CLICK
70.44,24,65280.16,106.78,Yes,Male,Algeria,6/6/2016 21:26,0,NO_CLICK
81.22,34,34309.24,127.78,Yes,User_Identified,San Marino,1/7/2016 13:25,0,NO_CLICK
34.6,45,59610.81,108.78,Yes,Male,Guernsey,4/15/2016 6:08,1,CLICK
43.6,41,50278.89,269.96,Yes,Male,Sierra Leone,1/9/2016 3:45,1,CLICK
46.6,55,43450.11,128.78,Yes,Female,Tajikistan,2/10/2016 15:23,0,NO_CLICK
34.6,37,25408.21,253.78,Yes,Female,Liechtenstein,4/24/2016 13:42,1,CLICK
79.6,36,71136.49,222.25,Yes,Female,Ecuador,6/12/2016 5:31,0,NO_CLICK
65.6,45,63883.81,155.78,Yes,Male,Switzerland,1/5/2016 9:42,1,CLICK
84.54,33,64902.47,125.78,Yes,Male,Moldova,3/2/2016 10:07,0,NO_CLICK
42.6,28,66784.81,221.78,Yes,Male,Finland,7/21/2016 10:54,1,CLICK
32.6,48,62784.85,229.78,Yes,Female,France,1/9/2016 4:53,1,CLICK
81.03,28,63727.5,201.15,Yes,Female,Venezuela,1/6/2016 13:20,0,NO_CLICK
48.6,32,61608.23,213.78,Yes,Female,Cuba,1/31/2016 4:10,0,NO_CLICK
40.06,38,56782.18,140.78,Yes,Male,Peru,6/11/2016 8:38,0,NO_CLICK
83.47,39,64447.77,171.78,Yes,Female,Turkey,5/15/2016 20:48,0,NO_CLICK
44.6,39,42042.95,129.78,Yes,Female,Albania,6/18/2016 17:23,0,NO_CLICK
74.65,46,67669.06,179.78,Yes,Female,French Southern Territories,3/17/2016 5:00,0,NO_CLICK
60.25,35,54875.95,109.77,Yes,Female,Papua New Guinea,6/29/2016 13:35,1,CLICK
59.21,35,73347.67,169.78,Yes,Male,Liechtenstein,2/2/2016 8:55,1,CLICK
32.6,44,50199.77,183.78,Yes,Female,Thailand,4/13/2016 5:42,1,CLICK
84.04,56,50723.67,244.55,Yes,Female,Malaysia,7/20/2016 9:27,0,NO_CLICK
70.66,43,63450.96,120.95,Yes,Male,Mauritius,2/26/2016 4:57,1,CLICK
43.6,53,56694.12,136.94,Yes,Female,Algeria,2/26/2016 9:18,1,CLICK
42.6,50,70547.16,169.78,Yes,Female,Christmas Island,4/15/2016 14:45,1,CLICK
40.17,26,47391.95,231.78,Yes,Male,Japan,2/1/2016 14:37,1,CLICK
79.15,55,62312.23,106.78,Yes,Female,Greenland,1/20/2016 19:09,0,NO_CLICK
85.6,53,63100.13,168,Yes,Male,Sao Tome and Principe,4/23/2016 6:28,1,CLICK
73.04,37,73687.5,182.78,Yes,Male,Senegal,6/19/2016 22:26,0,NO_CLICK
76.28,45,52686.47,254.34,Yes,Female,Guadeloupe,2/15/2016 7:55,0,NO_CLICK
68.6,41,78119.5,139.78,Yes,Female,Belgium,2/9/2016 19:37,0,NO_CLICK
73.1,28,57014.84,240.78,Yes,Female,Israel,1/25/2016 7:52,1,CLICK
47.66,29,27086.4,115.78,Yes,Female,Honduras,7/18/2016 11:33,1,CLICK
87.3,35,58337.18,188.78,Yes,Female,Estonia,1/9/2016 7:28,0,NO_CLICK
89.34,32,50216.01,181.78,Yes,Male,Paraguay,3/21/2016 21:15,0,NO_CLICK
81.37,26,53049.44,160.78,Yes,Male,Kyrgyz Republic,2/15/2016 12:25,0,NO_CLICK
81.67,28,62927.96,237.78,Yes,Male,Mauritania,3/4/2016 8:48,0,NO_CLICK
49.6,34,32847.53,248.78,Yes,Female,French Guiana,1/5/2016 0:02,1,CLICK
54.88,24,32006.82,229.78,Yes,Female,Northern Mariana Islands,5/15/2016 1:03,1,CLICK
40.67,35,48913.07,266.78,Yes,Female,Lebanon,5/5/2016 9:28,1,CLICK
71.6,35,69285.69,194.78,Yes,Female,Saint Pierre and Miquelon,5/26/2016 13:18,1,CLICK
84.6,22,53700.57,128.78,Yes,Male,American Samoa,5/21/2016 1:36,1,CLICK
54.6,56,52011,245.78,Yes,Male,Austria,5/4/2016 12:06,1,CLICK
42.6,45,46339.25,241.78,Yes,Female,Tonga,7/5/2016 18:59,1,CLICK
