misspell,update,towns,county,state,code
oakland park,oaklandpark,Gastonia,gaston,nc,neighborhoodname
pinnacle,pinnacle,Gastonia,gaston,nc,neighborhoodname
presley,presley,Gastonia,gaston,nc,neighborhoodname
redbud commons,redbudcommons,Gastonia,gaston,nc,neighborhoodname
robinson oaks,robinsonoaks,Gastonia,gaston,nc,neighborhoodname
robinwood village,robinwoodvillage,Gastonia,gaston,nc,neighborhoodname
rose gate,rosegate,Gastonia,gaston,nc,neighborhoodname
smyre,smyre,Gastonia,gaston,nc,neighborhoodname
spencer mountain village,spencermountainvillage,Gastonia,gaston,nc,neighborhoodname
spring haven,springhaven,Gastonia,gaston,nc,neighborhoodname
stage coach station,stagecoachstation,Gastonia,gaston,nc,neighborhoodname
sundance village,sundancevillage,Gastonia,gaston,nc,neighborhoodname
village at fifth,villageatfifth,Gastonia,gaston,nc,neighborhoodname
village at parkside,villageatparkside,Gastonia,gaston,nc,neighborhoodname
village at the mountain,villageatmountain,Gastonia,gaston,nc,neighborhoodname
vinales,vinales,Gastonia,gaston,nc,neighborhoodname
wesley park,wesleypark,Gastonia,gaston,nc,neighborhoodname
west gastonia,westgastonia,Gastonia,gaston,nc,neighborhoodname
windsor woods,windsorwoods,Gastonia,gaston,nc,neighborhoodname
hardins,hardins,Hardins,gaston,nc,townoutside
high shoals,highshoals,High Shoals,gaston,nc,townoutside
lowell,lowell,Lowell,gaston,nc,townoutside
lucia,lucia,Lucia,gaston,nc,townoutside
mc adenville,mcadenville,McAdenville,gaston,nc,townoutside
mt holly,mountholly,Mt Holly,gaston,nc,townoutside
mount holly,mountholly,Mt Holly,gaston,nc,townoutside
catawba heights,catawbaheights,Mt Holly,gaston,nc,neighborhoodname
ranlo,ranlo,Ranlo,gaston,nc,townoutside
south gastonia,southgastonia,South Gastonia,gaston,nc,townoutside
stanley,stanley,Stanley,gaston,nc,townoutside
tryon,tryon,Tryon,gaston,nc,townoutside
white pines,whitepines,White Pines,gaston,nc,townoutside
amity hill,amityhill,Amity Hill,iredell,nc,townoutside
iredell,iredell,iredell,iredell,nc,countyname
bells crossroads,bellscrossroads,Bells Crossroads,iredell,nc,townoutside
cool springs,coolsprings,Cool Springs,iredell,nc,townoutside
eagle mills,eaglemills,Eagle Mills,iredell,nc,townoutside
east monbo,eastmonbo,East Monbo,iredell,nc,townoutside
eufola,eufola,Eufola,iredell,nc,townoutside
harmony,harmony,Harmony,iredell,nc,townoutside
hickory hills,hickoryhills,Hickory Hills,iredell,nc,townoutside
houston ville,houstonville,Houstonville,iredell,nc,townoutside
love valley,lovevalley,Love Valley,iredell,nc,townoutside
may hew,mayhew,Mayhew,iredell,nc,townoutside
mazepa,mazeppa,Mazeppa,iredell,nc,townoutside
moresville,mooresville,Mooresville,iredell,nc,townoutside
mount mourne,mtmourne,Mt Mourne,iredell,nc,townoutside
mt mourne,mtmourne,Mt Mourne,iredell,nc,townoutside
new hope,newhope,New Hope,iredell,nc,townoutside
olin,olin,Olin,iredell,nc,townoutside
scotts,scotts,Scotts,iredell,nc,townoutside
sharon,sharon,Sharon,iredell,nc,townoutside
statesville,statesville,Statesville,iredell,nc,townoutside
ashbrook park,ashbrookpark,Statesville,iredell,nc,neighborhoodname
oakland heights,oaklandheights,Statesville,iredell,nc,neighborhoodname
wendover hills,wendoverhills,Statesville,iredell,nc,neighborhoodname
west statesville,weststatesville,Statesville,iredell,nc,neighborhoodname
west wood,westwood,Statesville,iredell,nc,neighborhoodname
wildwood park,wildwoodpark,Statesville,iredell,nc,neighborhoodname
troutman,troutman,Troutman,iredell,nc,townoutside
barium springs,bariumsprings,Troutman,iredell,nc,neighborhoodname
turkey foot,turkeyfoot,Turkeyfoot,iredell,nc,townoutside
turners burg,turnersburg,Turnersburg,iredell,nc,townoutside
union grove,uniongrove,Union Grove,iredell,nc,townoutside
williams burg,williamsburg,Williamsburg,iredell,nc,townoutside
lincoln county,lincoln,lincoln,lincoln,nc,countyname
crouse,crouse,Crouse,lincoln,nc,townoutside
denver,denver,Denver,lincoln,nc,townoutside
flay,flay,Flay,lincoln,nc,townoutside
iron station,ironstation,Iron Station,lincoln,nc,townoutside
laurel hill,laurelhill,Laurel Hill,lincoln,nc,townoutside
lincolnton,lincolnton,Lincolnton,lincoln,nc,townoutside
boger city,bogercity,Lincolnton,lincoln,nc,neighborhoodname
lithia springs,lithiasprings,Lincolnton,lincoln,nc,neighborhoodname
lowes ville,lowesville,Lowesville,lincoln,nc,townoutside
vale,vale,Vale,lincoln,nc,townoutside
west port,westport,Westport,lincoln,nc,townoutside
charlotte,charlotte,Charlotte,mecklenburg,nc,cityname
mecklenburg,mecklenburg,mecklenburg,mecklenburg,nc,countyname
arbor glen,arborglen,Charlotte,mecklenburg,nc,neighborhoodname
ash brook,ashbrook,Charlotte,mecklenburg,nc,neighborhoodname
ashley park,ashleypark,Charlotte,mecklenburg,nc,neighborhoodname
autumn wood,autumnwood,Charlotte,mecklenburg,nc,neighborhoodname
back creek church,backcreekchurch,Charlotte,mecklenburg,nc,neighborhoodname
ballantyne,ballantyne,Charlotte,mecklenburg,nc,neighborhoodname
barclay downs,barclaydowns,Charlotte,mecklenburg,nc,neighborhoodname
beatties ford,beattiesford,Charlotte,mecklenburg,nc,neighborhoodname
beaties ford,beattiesford,Charlotte,mecklenburg,nc,neighborhoodname
becton park,bectonpark,Charlotte,mecklenburg,nc,neighborhoodname
belmont,belmont,Charlotte,mecklenburg,nc,neighborhoodname
beverly woods,beverlywoods,Charlotte,mecklenburg,nc,neighborhoodname
biddle ville,biddleville,Charlotte,mecklenburg,nc,neighborhoodname
boulevard homes,blvdhomes,Charlotte,mecklenburg,nc,neighborhoodname
bradfield farms,bradfieldfarms,Charlotte,mecklenburg,nc,neighborhoodname
briar creek,briarcreek,Charlotte,mecklenburg,nc,neighborhoodname
brook hill,brookhill,Charlotte,mecklenburg,nc,neighborhoodname
capitol drive,capitoldrive,Charlotte,mecklenburg,nc,neighborhoodname
carmel,carmel,Charlotte,mecklenburg,nc,neighborhoodname
chantily,chantilly,Charlotte,mecklenburg,nc,neighborhoodname
cherry area,cherryarea,Charlotte,mecklenburg,nc,neighborhoodname
clanton park,clantonpark,Charlotte,mecklenburg,nc,neighborhoodname
close burn,closeburn,Charlotte,mecklenburg,nc,neighborhoodname
coliseum drive,coliseumdrive,Charlotte,mecklenburg,nc,neighborhoodname
college downs,collegedowns,Charlotte,mecklenburg,nc,neighborhoodname
colling wood,collingwood,Charlotte,mecklenburg,nc,neighborhoodname
colonial village,colonialvillage,Charlotte,mecklenburg,nc,neighborhoodname
common wealth,commonwealth,Charlotte,mecklenburg,nc,neighborhoodname
cots wold,cotswold,Charlotte,mecklenburg,nc,neighborhoodname
coulwood east,coulwoodeast,Charlotte,mecklenburg,nc,neighborhoodname
coulwood west,coulwoodwest,Charlotte,mecklenburg,nc,neighborhoodname
country club heights,countryclubheights,Charlotte,mecklenburg,nc,neighborhoodname
coventry woods,coventrywoods,Charlotte,mecklenburg,nc,neighborhoodname
davis lake,davislake,Charlotte,mecklenburg,nc,neighborhoodname
derita,derita,Charlotte,mecklenburg,nc,neighborhoodname
dillworth,dilworth,Charlotte,mecklenburg,nc,neighborhoodname
dixie,dixie,Charlotte,mecklenburg,nc,neighborhoodname
double oaks,doubleoaks,Charlotte,mecklenburg,nc,neighborhoodname
druid hills,druidhills,Charlotte,mecklenburg,nc,neighborhoodname
eagle lake,eaglelake,Charlotte,mecklenburg,nc,neighborhoodname
east forest,eastforest,Charlotte,mecklenburg,nc,neighborhoodname
east over,eastover,Charlotte,mecklenburg,nc,neighborhoodname
east way,eastway,Charlotte,mecklenburg,nc,neighborhoodname
echo hills,echohills,Charlotte,mecklenburg,nc,neighborhoodname
elizabeth,elizabeth,Charlotte,mecklenburg,nc,neighborhoodname
enderly park,enderlypark,Charlotte,mecklenburg,nc,neighborhoodname
farm pond,farmpond,Charlotte,mecklenburg,nc,neighborhoodname
fire stone,firestone,Charlotte,mecklenburg,nc,neighborhoodname
first ward,firstward,Charlotte,mecklenburg,nc,neighborhoodname
fourth ward,fourthward,Charlotte,mecklenburg,nc,neighborhoodname
fox croft,foxcroft,Charlotte,mecklenburg,nc,neighborhoodname
genesis park,genesispark,Charlotte,mecklenburg,nc,neighborhoodname
governors square,governorssquare,Charlotte,mecklenburg,nc,neighborhoodname
green ville,greenville,Charlotte,mecklenburg,nc,neighborhoodname
grier heights,grierheights,Charlotte,mecklenburg,nc,neighborhoodname
griers fork,griersfork,Charlotte,mecklenburg,nc,neighborhoodname
hampshire hills,hampshirehills,Charlotte,mecklenburg,nc,neighborhoodname
harbor house,harborhouse,Charlotte,mecklenburg,nc,neighborhoodname
harris houston,harrishouston,Charlotte,mecklenburg,nc,neighborhoodname
har wood,harwood,Charlotte,mecklenburg,nc,neighborhoodname
hemb stead,hembstead,Charlotte,mecklenburg,nc,neighborhoodname
henderson circle,hendersoncircle,Charlotte,mecklenburg,nc,neighborhoodname
hickory grove,hickorygrove,Charlotte,mecklenburg,nc,neighborhoodname
hickory ridge,hickoryridge,Charlotte,mecklenburg,nc,neighborhoodname
hidden valley,hiddenvalley,Charlotte,mecklenburg,nc,neighborhoodname
highland creek,highlandcreek,Charlotte,mecklenburg,nc,neighborhoodname
idlewild farms,idlewildfarms,Charlotte,mecklenburg,nc,neighborhoodname
idlewild south,idlewild,Charlotte,mecklenburg,nc,neighborhoodname
jackson homes,jacksonhomes,Charlotte,mecklenburg,nc,neighborhoodname
j t williams,jtwilliams,Charlotte,mecklenburg,nc,neighborhoodname
lake wood,lakewood,Charlotte,mecklenburg,nc,neighborhoodname
lansdown,lansdowne,Charlotte,mecklenburg,nc,neighborhoodname
lincoln heights,lincolnheights,Charlotte,mecklenburg,nc,neighborhoodname
lock wood,lockwood,Charlotte,mecklenburg,nc,neighborhoodname
madison park,madisonpark,Charlotte,mecklenburg,nc,neighborhoodname
mallard creek,mallardcreek,Charlotte,mecklenburg,nc,neighborhoodname
marl wood,marlwood,Charlotte,mecklenburg,nc,neighborhoodname
marsh brooke,marshbrooke,Charlotte,mecklenburg,nc,neighborhoodname
mc alpine,mcalpine,Charlotte,mecklenburg,nc,neighborhoodname
mccrorey heights,mccroreyheights,Charlotte,mecklenburg,nc,neighborhoodname
mineral springs,mineralsprings,Charlotte,mecklenburg,nc,neighborhoodname
montclaire south,montclaire,Charlotte,mecklenburg,nc,neighborhoodname
monti bello,montibello,Charlotte,mecklenburg,nc,neighborhoodname
moores chapel,mooreschapel,Charlotte,mecklenburg,nc,neighborhoodname
mountain brook,mountainbrook,Charlotte,mecklenburg,nc,neighborhoodname
mountain island,mountainisland,Charlotte,mecklenburg,nc,neighborhoodname
myers park,myerspark,Charlotte,mecklenburg,nc,neighborhoodname
nevin community,nevin,Charlotte,mecklenburg,nc,neighborhoodname
newel,newell,Charlotte,mecklenburg,nc,neighborhoodname
noda,noda,Charlotte,mecklenburg,nc,neighborhoodname
north charlotte,northcharlotte,Charlotte,mecklenburg,nc,neighborhoodname
oakdale north,oakdale,Charlotte,mecklenburg,nc,neighborhoodname
oak dale,oakdale,Charlotte,mecklenburg,nc,neighborhoodname
oakdale south,oakdale,Charlotte,mecklenburg,nc,neighborhoodname
oak forest,oakforest,Charlotte,mecklenburg,nc,neighborhoodname
oak hurst,oakhurst,Charlotte,mecklenburg,nc,neighborhoodname
oak lawn,oaklawn,Charlotte,mecklenburg,nc,neighborhoodname
oakview terrance,oakviewterrance,Charlotte,mecklenburg,nc,neighborhoodname
olde providence,providence,Charlotte,mecklenburg,nc,neighborhoodname
olde white hall,oldewhitehall,Charlotte,mecklenburg,nc,neighborhoodname
optimist park,optimistpark,Charlotte,mecklenburg,nc,neighborhoodname
oxford hunt,oxfordhunt,Charlotte,mecklenburg,nc,neighborhoodname
park crossing,parkcrossing,Charlotte,mecklenburg,nc,neighborhoodname
park road,parkroad,Charlotte,mecklenburg,nc,neighborhoodname
paw tuckett,pawtuckett,Charlotte,mecklenburg,nc,neighborhoodname
pine crest,pinecrest,Charlotte,mecklenburg,nc,neighborhoodname
piper glen,piperglenestates,Charlotte,mecklenburg,nc,neighborhoodname
plaza hills,plazahills,Charlotte,mecklenburg,nc,neighborhoodname
plaza midwood,plazamidwood,Charlotte,mecklenburg,nc,neighborhoodname
midwood,plazamidwood,Charlotte,mecklenburg,nc,neighborhoodname
plaza shamrock,plazashamrock,Charlotte,mecklenburg,nc,neighborhoodname
pleasant hill,pleasanthill,Charlotte,mecklenburg,nc,neighborhoodname
ponde rosa,ponderosa,Charlotte,mecklenburg,nc,neighborhoodname
prosperity church,prosperitychurch,Charlotte,mecklenburg,nc,neighborhoodname
providence crossing,providence,Charlotte,mecklenburg,nc,neighborhoodname
providence estates east,providence,Charlotte,mecklenburg,nc,neighborhoodname
providence park,providence,Charlotte,mecklenburg,nc,neighborhoodname
providence plantation,providence,Charlotte,mecklenburg,nc,neighborhoodname
province towne,provincetowne,Charlotte,mecklenburg,nc,neighborhoodname
quail hollow,quailhollow,Charlotte,mecklenburg,nc,neighborhoodname
rain tree,raintree,Charlotte,mecklenburg,nc,neighborhoodname
reid park,reidpark,Charlotte,mecklenburg,nc,neighborhoodname
revolution park,revolutionpark,Charlotte,mecklenburg,nc,neighborhoodname
rockwell park,rockwellpark,Charlotte,mecklenburg,nc,neighborhoodname
sardis forest,sardis,Charlotte,mecklenburg,nc,neighborhoodname
sardis woods,sardis,Charlotte,mecklenburg,nc,neighborhoodname
sedge field,sedgefield,Charlotte,mecklenburg,nc,neighborhoodname
seven eagles,seveneagles,Charlotte,mecklenburg,nc,neighborhoodname
severville,seversville,Charlotte,mecklenburg,nc,neighborhoodname
shannon park,shannonpark,Charlotte,mecklenburg,nc,neighborhoodname
sharon woods,sharonwoods,Charlotte,mecklenburg,nc,neighborhoodname
sherwood forest,sherwoodforest,Charlotte,mecklenburg,nc,neighborhoodname
silver wood,silverwood,Charlotte,mecklenburg,nc,neighborhoodname
slater,slater,Charlotte,mecklenburg,nc,neighborhoodname
small wood,smallwood,Charlotte,mecklenburg,nc,neighborhoodname
southside park,southsidepark,Charlotte,mecklenburg,nc,neighborhoodname
star mount,starmount,Charlotte,mecklenburg,nc,neighborhoodname
starmount forest,starmount,Charlotte,mecklenburg,nc,neighborhoodname
steele creek,steelecreek,Charlotte,mecklenburg,nc,neighborhoodname
sterling,sterling,Charlotte,mecklenburg,nc,neighborhoodname
stone haven,stonehaven,Charlotte,mecklenburg,nc,neighborhoodname
sugarcreek,sugawcreek,Charlotte,mecklenburg,nc,neighborhoodname
sugar creek,sugawcreek,Charlotte,mecklenburg,nc,neighborhoodname
sugaw creek,sugawcreek,Charlotte,mecklenburg,nc,neighborhoodname
sun set,sunset,Charlotte,mecklenburg,nc,neighborhoodname
south end,southend,Charlotte,mecklenburg,nc,neighborhoodname
the crossings,thecrossings,Charlotte,mecklenburg,nc,neighborhoodname
third ward,thirdward,Charlotte,mecklenburg,nc,neighborhoodname
thomas boro,thomasboro,Charlotte,mecklenburg,nc,neighborhoodname
todd park,toddpark,Charlotte,mecklenburg,nc,neighborhoodname
todd ville,toddville,Charlotte,mecklenburg,nc,neighborhoodname
touchstone village,touchstonevillage,Charlotte,mecklenburg,nc,neighborhoodname
tryon hills,tryonhills,Charlotte,mecklenburg,nc,neighborhoodname
university city,universitycity,Charlotte,mecklenburg,nc,neighborhoodname
university park,universitycity,Charlotte,mecklenburg,nc,neighborhoodname
villa heights,villaheights,Charlotte,mecklenburg,nc,neighborhoodname
villa height,villaheights,Charlotte,mecklenburg,nc,neighborhoodname
washington heights,washingtonheights,Charlotte,mecklenburg,nc,neighborhoodname
wedge wood,wedgewood,Charlotte,mecklenburg,nc,neighborhoodname
wendover,wendover,Charlotte,mecklenburg,nc,neighborhoodname
wesley heights,wesleyheights,Charlotte,mecklenburg,nc,neighborhoodname
wessex square,wessexsquare,Charlotte,mecklenburg,nc,neighborhoodname
west boulevard,westblvd,Charlotte,mecklenburg,nc,neighborhoodname
west chester,westchester,Charlotte,mecklenburg,nc,neighborhoodname
westerly hills,westerlyhills,Charlotte,mecklenburg,nc,neighborhoodname
westover hills,westoverhills,Charlotte,mecklenburg,nc,neighborhoodname
white oak,whiteoak,Charlotte,mecklenburg,nc,neighborhoodname
wild wood,wildwood,Charlotte,mecklenburg,nc,neighborhoodname
willmore,wilmore,Charlotte,mecklenburg,nc,neighborhoodname
wilora lake,wiloralake,Charlotte,mecklenburg,nc,neighborhoodname
wilson heights,wilsonheights,Charlotte,mecklenburg,nc,neighborhoodname
windsor park,windsorpark,Charlotte,mecklenburg,nc,neighborhoodname
york mount,yorkmount,Charlotte,mecklenburg,nc,neighborhoodname
york road,yorkrd,Charlotte,mecklenburg,nc,neighborhoodname
work shire,yorkshire,Charlotte,mecklenburg,nc,neighborhoodname
cornelius,cornelius,Cornelius,mecklenburg,nc,towninside
hope well,hopewell,Cornelius,mecklenburg,nc,neighborhoodname
davidson,davidson,Davidson,mecklenburg,nc,towninside
river run,riverrun,Davidson,mecklenburg,nc,neighborhoodname
huntersville,huntersville,Huntersville,mecklenburg,nc,towninside
allison ferry ,allisonferry,Huntersville,mecklenburg,nc,neighborhoodname
birkdale village,birkdalevillage,Huntersville,mecklenburg,nc,neighborhoodname
cald well,caldwell,Huntersville,mecklenburg,nc,neighborhoodname
hicks crossroads,hickscrossroads,Huntersville,mecklenburg,nc,neighborhoodname
hunters pointe,hunterspointe,Huntersville,mecklenburg,nc,neighborhoodname
torrance,torance,Huntersville,mecklenburg,nc,neighborhoodname
matthews,matthews,Matthews,mecklenburg,nc,towninside
oxford hunt,oxfordhunt,Matthews,mecklenburg,nc,neighborhoodname
sardis patio,sardis,Matthews,mecklenburg,nc,neighborhoodname
wood hollow,woodhollow,Matthews,mecklenburg,nc,neighborhoodname
mint hill,minthill,Mint Hill,mecklenburg,nc,towninside
apple creek,applecreek,Mint Hill,mecklenburg,nc,neighborhoodname
ashe plantation,asheplantation,Mint Hill,mecklenburg,nc,neighborhoodname
bain bridge,bainbridge,Mint Hill,mecklenburg,nc,neighborhoodname
brighton park,brightonpark,Mint Hill,mecklenburg,nc,neighborhoodname
chevall,cheval,Mint Hill,mecklenburg,nc,neighborhoodname
clear creek,clearcreek,Mint Hill,mecklenburg,nc,neighborhoodname
country acres,countryacres,Mint Hill,mecklenburg,nc,neighborhoodname
danbrooke park,danbrookepark,Mint Hill,mecklenburg,nc,neighborhoodname
davis trace,davistrace,Mint Hill,mecklenburg,nc,neighborhoodname
ellington farm,ellingtonfarm,Mint Hill,mecklenburg,nc,neighborhoodname
farm wood,farmwood,Mint Hill,mecklenburg,nc,neighborhoodname
fox ridge estates,foxridgeestates,Mint Hill,mecklenburg,nc,neighborhoodname
glen croft,glencroft,Mint Hill,mecklenburg,nc,neighborhoodname
heather gate,heathergate,Mint Hill,mecklenburg,nc,neighborhoodname
hidden forest,hiddenforest,Mint Hill,mecklenburg,nc,neighborhoodname
iron gate,irongate,Mint Hill,mecklenburg,nc,neighborhoodname
lawyers station,lawyers,Mint Hill,mecklenburg,nc,neighborhoodname
lemmond acres,lemmondacres,Mint Hill,mecklenburg,nc,neighborhoodname
mint hollow,minthollow,Mint Hill,mecklenburg,nc,neighborhoodname
mint wood,mintwood,Mint Hill,mecklenburg,nc,neighborhoodname
morgan glenn,morganglenn,Mint Hill,mecklenburg,nc,neighborhoodname
oak hill road,oakhillrd,Mint Hill,mecklenburg,nc,neighborhoodname
olde sycamore,oldesycamore,Mint Hill,mecklenburg,nc,neighborhoodname
pine lake country,pinelakecountry,Mint Hill,mecklenburg,nc,neighborhoodname
ravens croft,ravenscroft,Mint Hill,mecklenburg,nc,neighborhoodname
red oak estates,redoakestates,Mint Hill,mecklenburg,nc,neighborhoodname
stone bridge,stonebridge,Mint Hill,mecklenburg,nc,neighborhoodname
summer wood,summerwood,Mint Hill,mecklenburg,nc,neighborhoodname
tara woods,tarawoods,Mint Hill,mecklenburg,nc,neighborhoodname
versage,versage,Mint Hill,mecklenburg,nc,neighborhoodname
willgrove,wilgrove,Mint Hill,mecklenburg,nc,neighborhoodname
wilson woods,wilsonwoods,Mint Hill,mecklenburg,nc,neighborhoodname
windermer,windermere,Mint Hill,mecklenburg,nc,neighborhoodname
wyndemere crossing,wyndemerecrossing,Mint Hill,mecklenburg,nc,neighborhoodname
pine ville,pineville,Pineville,mecklenburg,nc,towninside
rowan,rowan,rowan,rowan,nc,countyname
barber,barber,Barber,rowan,nc,townoutside
bear poplar,bearpoplar,Bear Poplar,rowan,nc,townoutside
china grove,chinagrove,China Grove,rowan,nc,townoutside
cleveland,cleveland,Cleveland,rowan,nc,townoutside
correll park,correllpark,Correll Park,rowan,nc,townoutside
east spencer,eastspencer,East Spencer,rowan,nc,townoutside
enoch ville,enouchville,Enochville,rowan,nc,townoutside
faith,faith,Faith,rowan,nc,townoutside
five forks,fiveforks,Five Forks,rowan,nc,townoutside
franklin,franklin,Franklin,rowan,nc,townoutside
gold hill,goldhill,Gold Hill,rowan,nc,townoutside
granite quarry,granitequarry,Granite Quarry,rowan,nc,townoutside
landis,landis,Landis,rowan,nc,townoutside
mt ulla,mtulla,Mt Ulla,rowan,nc,townoutside
mt vernon,mtvernon,Mt Vernon,rowan,nc,townoutside
pittsburg,pittsburg,Pittsburg,rowan,nc,townoutside
pooltown,pooletown,Pooletown,rowan,nc,townoutside
rockwell,rockwell,Rockwell,rowan,nc,townoutside
salisbury,salisbury,Salisbury,rowan,nc,townoutside
country club hills,countryclubhills,Salisbury,rowan,nc,neighborhoodname
meadow brook,meadowbrook,Salisbury,rowan,nc,neighborhoodname
milford knoll,milfordknoll,Salisbury,rowan,nc,neighborhoodname
yadkin junction,yadkinjunction,Salisbury,rowan,nc,neighborhoodname
spencer,spencer,Spencer,rowan,nc,townoutside
west cliff,westcliff,Westcliff,rowan,nc,townoutside
wood bine,woodbine,Woodbine,rowan,nc,townoutside
woodbridge run,woodbridgerun,Woodbridge Run,rowan,nc,townoutside
wood leaf,woodleaf,Woodleaf,rowan,nc,townoutside
yadkin,yadkin,Yadkin,rowan,nc,townoutside
union,union,union,union,nc,countyname
allens crossroads,allenscrosscroads,Allens Crossroads,union,nc,townoutside
alton,alton,Alton,union,nc,townoutside
fair view,fairview,Fairview,union,nc,townoutside
hemby bridge,hembybridge,Hemby Bridge,union,nc,townoutside
indian trail,indiantrail,Indian Trail,union,nc,townoutside
brandon oaks,brandonoaks,Indian Trail,union,nc,neighborhoodname
jackson,jackson,Jackson,union,nc,townoutside
lake park,lakepark,Lake Park,union,nc,townoutside
marsh ville,marshville,Marshville,union,nc,townoutside
marvin,marvin,Marvin,union,nc,townoutside
mineral springs,mineralsprings,Mineral Springs,union,nc,townoutside
monroe,monroe,Monroe,union,nc,townoutside
briarwood acres,briarwoodacres,Monroe,union,nc,neighborhoodname
glen dalough,glendalough,Monroe,union,nc,neighborhoodname
lake park,lakepark,Monroe,union,nc,neighborhoodname
southwood estates,southwoodestates,Monroe,union,nc,neighborhoodname
welsh heights,welshheights,Monroe,union,nc,neighborhoodname
williams subdivision,williamssubdiv,Monroe,union,nc,neighborhoodname
new salem,newsalem,New Salem,union,nc,townoutside
olive branch,olivebranch,Olive Branch,union,nc,townoutside
roug hedge,roughedge,Roughedge,union,nc,townoutside
stallings,stallings,Stallings,union,nc,townoutside
union ville,unionville,Unionville,union,nc,townoutside
waxhaw,waxhaw,Waxhaw,union,nc,townoutside
weddington,weddington,Weddington,union,nc,townoutside
white oak,whiteoak,Weddington,union,nc,neighborhoodname
white oaks,whiteoaks,Weddington,union,nc,neighborhoodname
win gate,wingate,Wingate,union,nc,townoutside
airle,airlee,Airlee,chester,sc,townoutside
armenia,armenia,Armenia,chester,sc,townoutside
beckham ville,beckhamville,Beckhamville,chester,sc,townoutside
chester,chester,Chester,chester,sc,countyname
corn well,cornwell,Cornwell,chester,sc,townoutside
